,EnergyPt,ImgClass,TestImg,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,PSNR_gaussian_bayes,SSIM_gaussian_bayes
243,0.9790581918800686,lf,truck.bmp,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2.0,4.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,29.298730728536082,0.7289651801430282
244,0.9688736333801676,lf,trucks.bmp,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2.0,4.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,29.28213532046696,0.8179731553942914
245,0.9688736333801676,lf,trucks.bmp,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2.0,4.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,28.6032238047517,0.7855019750177472
246,0.9688736333801676,lf,trucks.bmp,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2.0,4.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,27.433575595882488,0.7148650145363066
247,0.9688736333801676,lf,trucks.bmp,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2.0,4.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,26.8773372143426,0.6675866010072643
248,0.9961028959908718,lf,zelda.bmp,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2.0,4.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,28.946762025607452,0.7655509902351118
249,0.9961028959908718,lf,zelda.bmp,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2.0,4.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,30.425991034897066,0.8473803714103442
250,0.9961028959908718,lf,zelda.bmp,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2.0,4.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,30.1070943718303,0.8687710187064157
251,0.9961028959908718,lf,zelda.bmp,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2.0,4.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,29.2476236667284,0.859860883151412
252,0.984627035141703,lf,boats.bmp,Q0_NI_08_SS_4C_D4SXY_FLL2,Frame-like Dual Wavelet System,Custom In Cube-2,4-Compatible In Cube-2,"D4 With Center (1/2,1/2) ",QuincunxRotation,2.0,4.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,29.347438901525468,0.7691568416117586
