,EnergyPt,ImgClass,TestImg,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,PSNR_gaussian_bayes,SSIM_gaussian_bayes,PSNR_snp_bayes,SSIM_snp_bayes,PSNR_gaussian_visu,SSIM_gaussian_visu,PSNR_snp_visu,SSIM_snp_visu
11,0.9598152135967836,mf,barbara.bmp,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Haar,Delta Function,No Symmetry,QuincunxRotation,1.0,1.0,0.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",4,24.23468721628001,0.6338766431884203,17.738282051832478,0.44009166443735526,24.022802463485018,0.6263806999205611,18.037451840388087,0.3797774339244835
12,0.9598152135967836,mf,barbara.bmp,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Haar,Delta Function,No Symmetry,QuincunxRotation,1.0,1.0,0.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",5,24.26413080189413,0.6350890059612083,17.73837104292412,0.4400862190232705,24.225897962348522,0.6394663746254472,18.073284281793505,0.37951164171958907
13,0.9598152135967836,mf,barbara.bmp,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Haar,Delta Function,No Symmetry,QuincunxRotation,1.0,1.0,0.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",6,24.272388831027424,0.6353762174549944,17.73838786149194,0.4400832040260312,24.360618781901806,0.6464921150902474,18.100120179580703,0.3797517830849195
14,0.9598152135967836,mf,barbara.bmp,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Haar,Delta Function,No Symmetry,QuincunxRotation,1.0,1.0,0.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",7,24.274137877762456,0.6354172664995754,17.738378576007484,0.44008106344248266,24.412027961083446,0.6489652318328939,18.10593789420022,0.379141468893511
15,0.9598152135967836,mf,barbara.bmp,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Haar,Delta Function,No Symmetry,QuincunxRotation,1.0,1.0,0.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",8,24.274111976450804,0.635413560903768,17.73836761881291,0.4400802556458419,24.42543576421123,0.6500692145906101,18.103335610916808,0.3791486903054924
16,0.9577489866698997,mf,tank2.bmp,Q0_IN_02_ST_BI_D2SX_OB,ONB,Haar,Haar,"D2 With Center (1/2,0)",QuincunxRotation,1.0,1.0,1.0,True,Haar wavelet,1,26.737830693947167,0.7197168923233289,18.204548023905613,0.38339361011729983,26.83004779447492,0.7228380615769754,19.437402850047583,0.402462472939154
17,0.9577489866698997,mf,tank2.bmp,Q0_IN_02_ST_BI_D2SX_OB,ONB,Haar,Haar,"D2 With Center (1/2,0)",QuincunxRotation,1.0,1.0,1.0,True,Haar wavelet,2,27.345319449536277,0.7246215135928161,18.270911238687958,0.38204186566945053,27.303055454924497,0.7197611830013244,20.457561623062517,0.4088234962954992
18,0.9577489866698997,mf,tank2.bmp,Q0_IN_02_ST_BI_D2SX_OB,ONB,Haar,Haar,"D2 With Center (1/2,0)",QuincunxRotation,1.0,1.0,1.0,True,Haar wavelet,3,27.585035495209027,0.7196402377750013,18.312651575087273,0.38169598443363845,27.075641645725707,0.6789794330313884,21.087927657760982,0.40094691661962545
19,0.9577489866698997,mf,tank2.bmp,Q0_IN_02_ST_BI_D2SX_OB,ONB,Haar,Haar,"D2 With Center (1/2,0)",QuincunxRotation,1.0,1.0,1.0,True,Haar wavelet,4,27.65215770263152,0.7155832645610698,18.331594091348652,0.38143560220296563,26.46766628636009,0.6130359868867163,21.31957516426331,0.3753283812178682
20,0.9577489866698997,mf,tank2.bmp,Q0_IN_02_ST_BI_D2SX_OB,ONB,Haar,Haar,"D2 With Center (1/2,0)",QuincunxRotation,1.0,1.0,1.0,True,Haar wavelet,5,27.663907004671454,0.7134115017374332,18.3382415123629,0.3811739063519991,25.961383303605785,0.5592473649825487,21.355295487896335,0.3515736463719829
