,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,Estimated_CR,TestImg,ImgClass,EnergyPt,PSNR,SSIM
13,SD_IN_03_HL_BI_D2_FR,Frame-like Dual Wavelet System,Best In 3-point Line,Biorthogonal In Rhomb-2,D2,SemiDyadic,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",7,0.025000000000000022,barbara.bmp,mf,0.9598152135967836,25.34056419799677,0.7681350290510863
14,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,0.025000000000000022,tank2.bmp,mf,0.9577489866698997,34.86644282466663,0.9445601350461144
15,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,0.025000000000000022,tank2.bmp,mf,0.9577489866698997,32.35321581804135,0.8965457099071401
16,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,0.025000000000000022,tank2.bmp,mf,0.9577489866698997,30.36462561266902,0.8323727431197291
17,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,0.025000000000000022,tank2.bmp,mf,0.9577489866698997,29.40707950169649,0.786316367953678
18,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,0.025000000000000022,tank2.bmp,mf,0.9577489866698997,28.47790116905227,0.7347129969876615
19,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",6,0.025000000000000022,tank2.bmp,mf,0.9577489866698997,28.02469794452785,0.7062123869417397
20,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",7,0.025000000000000022,tank2.bmp,mf,0.9577489866698997,27.63374419217832,0.6809665522988022
21,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",1,0.025000000000000022,barbara.bmp,mf,0.9598152135967836,38.53148866737401,0.9833360964861743
22,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",2,0.025000000000000022,barbara.bmp,mf,0.9598152135967836,31.825375045355962,0.9370721771236397
23,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",3,0.025000000000000022,barbara.bmp,mf,0.9598152135967836,29.195742636002635,0.8899142646719389
24,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",4,0.025000000000000022,barbara.bmp,mf,0.9598152135967836,27.430851557100738,0.8451422860802903
25,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,0.025000000000000022,barbara.bmp,mf,0.9598152135967836,26.480605902806996,0.8098016834848103
26,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",6,0.025000000000000022,barbara.bmp,mf,0.9598152135967836,25.86193980959516,0.7832035717156733
27,SD_IN_13_R3_BI_D2_FR,Frame-like Dual Wavelet System,Best In Rhomb-3,Biorthogonal In Rhomb-4,D2,SemiDyadic,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",7,0.025000000000000022,barbara.bmp,mf,0.9598152135967836,25.47227826300221,0.7673704347454156
28,bior4.4,,,,,,,,,,,1,0.975,tank2.bmp,,,31.046543325346498,0.8720358369352813
29,bior4.4,,,,,,,,,,,2,0.975,tank2.bmp,,,27.568235285940965,0.6980962058842125
30,bior4.4,,,,,,,,,,,3,0.975,tank2.bmp,,,27.157173615344643,0.6339844512927172
31,bior4.4,,,,,,,,,,,4,0.975,tank2.bmp,,,27.537171170362136,0.665742959634546
32,bior4.4,,,,,,,,,,,5,0.975,tank2.bmp,,,27.577378082585092,0.6697843134696547
33,bior4.4,,,,,,,,,,,6,0.975,tank2.bmp,,,27.582872700321577,0.6702418739571013
34,bior4.4,,,,,,,,,,,7,0.975,tank2.bmp,,,27.58421351238256,0.6703693043175039
35,bior4.4,,,,,,,,,,,1,0.975,barbara.bmp,,,26.525455154315175,0.8731274100992626
36,bior4.4,,,,,,,,,,,2,0.975,barbara.bmp,,,23.541330560082802,0.7144935593050832
37,bior4.4,,,,,,,,,,,3,0.975,barbara.bmp,,,24.481113105887676,0.7130832049399409
38,bior4.4,,,,,,,,,,,4,0.975,barbara.bmp,,,25.59105639554728,0.7555681913980452
39,bior4.4,,,,,,,,,,,5,0.975,barbara.bmp,,,25.688049336432144,0.7599386787326361
40,bior4.4,,,,,,,,,,,6,0.975,barbara.bmp,,,25.698643559846722,0.7603953397505223
41,bior4.4,,,,,,,,,,,7,0.975,barbara.bmp,,,25.70229612070937,0.7606032103370011
42,bior6.8,,,,,,,,,,,1,0.975,tank2.bmp,,,31.158270850925994,0.8752873585828077
43,bior6.8,,,,,,,,,,,2,0.975,tank2.bmp,,,27.641148502708326,0.7023288916737429
44,bior6.8,,,,,,,,,,,3,0.975,tank2.bmp,,,27.21052099924963,0.6391192788351236
45,bior6.8,,,,,,,,,,,4,0.975,tank2.bmp,,,27.57572983711397,0.6696199267721741
46,bior6.8,,,,,,,,,,,5,0.975,tank2.bmp,,,27.6170007563556,0.6738280487157715
47,bior6.8,,,,,,,,,,,6,0.975,tank2.bmp,,,27.62134977336258,0.6743008167469031
48,bior6.8,,,,,,,,,,,7,0.975,tank2.bmp,,,27.621561429928313,0.6743469764836179
49,bior6.8,,,,,,,,,,,1,0.975,barbara.bmp,,,26.574831624031,0.8724944337302484
50,bior6.8,,,,,,,,,,,2,0.975,barbara.bmp,,,23.60794255540945,0.7146429604857406
51,bior6.8,,,,,,,,,,,3,0.975,barbara.bmp,,,24.61668082763177,0.7157112923011124
52,bior6.8,,,,,,,,,,,4,0.975,barbara.bmp,,,25.76817663889173,0.7591767540373724
53,bior6.8,,,,,,,,,,,5,0.975,barbara.bmp,,,25.864847232522163,0.7634119434072448
54,bior6.8,,,,,,,,,,,6,0.975,barbara.bmp,,,25.87300193472942,0.7637667457666225
55,bior6.8,,,,,,,,,,,7,0.975,barbara.bmp,,,25.877010688541834,0.7639159157544264
