,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,SR,DualSR,ValidPRP,SourceInfo,Quant,Level,Clusters,TestImg,Entropy_KMeans,PSNR_KMeans,SSIM_KMeans,Entropy_Uniform,PSNR_Uniform,SSIM_Uniform
0,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,1,2,lenna.bmp,0.9686786019026448,15.281565425613667,0.350405123962681,0.9857872267771461,7.55636355146911,0.022273399401005287
1,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,1,4,lenna.bmp,1.972166953390718,23.783888745219404,0.6903369063382804,1.430666370326357,16.548153065351126,0.27636746821079267
2,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,1,8,lenna.bmp,2.3724003668954428,27.426913096909082,0.77982030281386,2.202504162884458,22.117802071070642,0.5753265560600578
3,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,1,16,lenna.bmp,3.335294556839452,32.15172093998161,0.8892879286941702,2.8565316024402527,23.925033793712707,0.7774719390831688
4,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,1,32,lenna.bmp,4.300662602294352,38.47785156103163,0.9708918453930784,3.650978074195324,24.294612925799036,0.8901511001167716
5,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,1,64,lenna.bmp,5.232290915707891,45.20701929291235,0.9934216109372918,4.476993167200958,24.4088384469528,0.9346252908481342
6,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,1,128,lenna.bmp,6.133715716796559,52.76342003538047,0.998771957788578,5.278431754301868,24.413461760436288,0.9452504914629415
7,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,2,2,lenna.bmp,1.0388288598341227,17.767739079736035,0.5723555561205018,0.8118882149262923,1.54632053516724,-0.0017403165119873462
8,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,2,4,lenna.bmp,1.207151603521925,20.283854793443858,0.610147859994958,1.0562869725469,15.984799260000228,0.40209016509780876
9,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,2,8,lenna.bmp,2.0186549433951955,25.009104124020745,0.7066309912953215,1.9847926372847968,16.65683529687046,0.31940915375855267
