Index,Estimated_CR,PSNR_Uniform,SSIM_Uniform,CR
Q0_IN_02_ST_DF_NS_FL,0.00390625,62.60720539150434,0.9998864440115052,0.99609375
Q0_IN_02_ST_DF_NS_FL,0.0110485434560398,62.60720539150434,0.9998864440115052,0.9889514565439602
Q0_IN_02_ST_DF_NS_FL,0.03125,34.67302261271661,0.93789859720882,0.96875
Q0_IN_02_ST_DF_NS_FL,0.0883883476483184,27.046001024642,0.779442999140089,0.9116116523516816
Q0_IN_02_ST_DF_NS_FL,0.25,20.409010241232977,0.6113290832268622,0.75
Q0_IN_02_ST_BI_D2_OB,0.00390625,50.40447320558884,0.9977392899245052,0.99609375
Q0_IN_02_ST_BI_D2_OB,0.0110485434560398,42.35976746660042,0.9861622179263264,0.9889514565439602
Q0_IN_02_ST_BI_D2_OB,0.03125,34.68661619665221,0.9320614874656749,0.96875
Q0_IN_02_ST_BI_D2_OB,0.0883883476483184,27.774595954638745,0.80453044312449,0.9116116523516816
Q0_IN_02_ST_BI_D2_OB,0.25,21.132246975686726,0.6459216908389107,0.75
Q0_IN_03_ST_DF_NS_FL,0.00390625,62.52128484012794,0.9998899791005864,0.99609375
Q0_IN_03_ST_DF_NS_FL,0.0110485434560398,62.52128484012794,0.9998899791005864,0.9889514565439602
Q0_IN_03_ST_DF_NS_FL,0.03125,34.97404628721074,0.9479417572516244,0.96875
Q0_IN_03_ST_DF_NS_FL,0.0883883476483184,27.50077098730605,0.8270475253299543,0.9116116523516816
Q0_IN_03_ST_DF_NS_FL,0.25,20.56855540828667,0.6689241662088151,0.75
Q0_IN_03_ST_BI_NS_FS,0.00390625,50.62785044619303,0.9979207464445532,0.99609375
Q0_IN_03_ST_BI_NS_FS,0.0110485434560398,44.63206130593386,0.9919171835820796,0.9889514565439602
Q0_IN_03_ST_BI_NS_FS,0.03125,35.1690119253115,0.9404504442018672,0.96875
Q0_IN_03_ST_BI_NS_FS,0.0883883476483184,28.59015479558589,0.8387157265612907,0.9116116523516816
Q0_IN_03_ST_BI_NS_FS,0.25,21.45457061687562,0.6940328461354203,0.75
Q0_IN_03_ST_BI_NS_FR,0.00390625,51.42706146702149,0.998143428729142,0.99609375
