,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,SR,DualSR,ValidPRP,SourceInfo,Quant,Level,Clusters,TestImg,Entropy_KMeans,PSNR_KMeans,SSIM_KMeans,Entropy_Uniform,PSNR_Uniform,SSIM_Uniform
12,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,2,32,lenna.bmp,3.8734157225815835,40.013079945468675,0.978036956800518,2.9330070091829024,34.120968790531975,0.901437025402112
13,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,2,64,lenna.bmp,4.769044850073474,46.7273488099401,0.9954084303744684,3.81530361380357,40.68314502840013,0.9755405203015234
14,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,2,128,lenna.bmp,5.683959963296266,54.590297154440314,0.9992340965770747,4.70552298933011,47.2674103959467,0.9946257936296741
15,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,2,256,lenna.bmp,6.7706470239760606,64.12534688288024,0.9999348913139461,5.511080621556629,53.807666272181706,0.9987687796275634
16,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,3,2,lenna.bmp,0.25332875953720246,16.47389280860346,0.4923549105069054,0.5532731153242028,-2.6750671476786128,0.02586901774799308
17,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,3,4,lenna.bmp,0.6546310824254031,21.474284201704418,0.6127680385428662,0.7283428271791579,8.405274251978275,0.13094224069091057
18,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,3,8,lenna.bmp,1.9860409038584723,27.915173863951974,0.7896641130353236,1.0354825721972918,18.217595970072818,0.3918587280280949
19,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,3,16,lenna.bmp,2.698457857868239,32.89166046952141,0.908003249532804,1.5016500139787634,28.786665390401982,0.7703939960769994
20,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,3,32,lenna.bmp,3.7510131412164713,38.99021273240622,0.9752547360023606,2.4496968639933243,32.57771023750042,0.8716572850896085
21,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 2-point Standard Support,Delta Function,Only Refinable,QuincunxRotation,1,0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",KMeans,3,64,lenna.bmp,4.558068049100914,45.633642569603346,0.994581494569515,3.3241946012115275,39.02812135433676,0.9659311192580726
