,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,TestImg,PSNR_gaussian_bayes,SSIM_gaussian_bayes,PSNR_snp_bayes,SSIM_snp_bayes,PSNR_gaussian_visu,SSIM_gaussian_visu,PSNR_snp_visu,SSIM_snp_visu
11,Q0_IN_05_R1_2C_D2_FLL2,Frame-like Dual Wavelet System,Best In Rhomb-1,2-Compatible In 3-point Line,D2,QuincunxRotation,2,2,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.70108862239819,0.2928564056545093,11.400053895351327,0.18761089503219094,35.04285841830207,0.9222516690896057,35.04285841830207,0.9222516690896057
12,Q0_IN_05_R1_2C_D4_FLL2,Frame-like Dual Wavelet System,Best In Rhomb-1,2-Compatible In Rhomb-1,D4,QuincunxRotation,2,2,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.808646495751628,0.29258169140259555,11.410132261805403,0.18854466972840814,34.85938568472071,0.922880190462772,34.85938568472071,0.922880190462772
13, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1,2,4,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.583781138789178,0.2962647197155059,11.412817152208365,0.1907954634065252,36.29299754271499,0.9226594837256991,36.29299754271499,0.9226594837256991
14,Q0_IN_13_C2_DF_D4_FL,Frame-like Dual Wavelet System,Best In Cube-2,Delta Function,D4,QuincunxRotation,1,4,0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.581307417545535,0.29644078301260124,11.446919469875937,0.19253056520358658,33.890080812862934,0.8987697835836291,33.890080812862934,0.8987697835836291
15,Q0_IN_13_C2_2C_D2_FLL2,Frame-like Dual Wavelet System,Best In Cube-2,2-Compatible In 3-point Line,D2,QuincunxRotation,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.706438746714348,0.28930219898016885,11.456190554591782,0.19230544112734949,35.17191410119207,0.9209735363437536,35.17191410119207,0.9209735363437536
16,Q0_IN_13_C2_2C_D4_FLL2,Frame-like Dual Wavelet System,Best In Cube-2,2-Compatible In Rhomb-1,D4,QuincunxRotation,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.788570342880536,0.28871437978249065,11.37221734768868,0.18533754885494602,34.945760287488994,0.9206508009348878,34.945760287488994,0.9206508009348878
17,Q0_IN_13_C2_4C_D4_FLL2,Frame-like Dual Wavelet System,Best In Cube-2,4-Compatible In Cube-1,D4,QuincunxRotation,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.635084411788092,0.2956312353530108,11.432004148764374,0.191182799574931,38.02138657769849,0.952511618839402,38.02138657769849,0.952511618839402
18,Q0_IN_13_C2_BI_D4_FS,Dual Wavelet Frame In Sobolev Spaces,Best In Cube-2,Biorthogonal In Cube-3,D4,QuincunxRotation,1,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.597845810406945,0.29649658253966127,11.416619999450752,0.187162781136547,35.675887909963784,0.9176275732167924,35.675887909963784,0.9176275732167924
19,Q0_IN_17_R3S_4C_D4_FR,Dual Wavelet Frame,Custom,4-Compatible In Rhomb-3,D4,QuincunxRotation,3,4,4,True,"Created by the algorithm in paper ""Compactly Supported Multivariate Pairs of Dual Wavelet Frames Obtained by Convolution"" by M. Ehler, 2008, IJWMIP 6 (2), 183-208.",5,lenna.bmp,18.696651486270476,0.2975316891887344,11.42166092360303,0.18713893731310505,36.44977740072261,0.9226575160248355,36.44977740072261,0.9226575160248355
20,Q0_IN_17_R3S_2C_D4_FLL2,Frame-like Dual Wavelet System,Custom in Rhomb-3,2-Compatible In Rhomb-1,D4,QuincunxRotation,2,4,2,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",5,lenna.bmp,18.793396115856936,0.28981554989488917,11.409890337347452,0.18973123312709678,34.97755896490534,0.9210210392220239,34.97755896490534,0.9210210392220239
