,Index,WaveletSystemType,RefinableMaskInfo,DualRefinableMaskInfo,SymmetryInfo,DilationMatrixInfo,WaveletMaskAmount,SR,DualSR,ValidPRP,SourceInfo,Level,TestImg,PSNR_gaussian_bayes,SSIM_gaussian_bayes,PSNR_snp_bayes,SSIM_snp_bayes,PSNR_gaussian_visu,SSIM_gaussian_visu,PSNR_snp_visu,SSIM_snp_visu
0,Q0_IN_02_ST_DF_NS_FL,Frame-like Dual Wavelet System,Haar,Delta Function,No Symmetry,QuincunxRotation,1.0,1.0,0.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",10,tank2.bmp,24.59062100532458,0.5953641906114207,18.130851544960148,0.3748238083584368,22.594838001494363,0.39480815845892014,19.243448366379432,0.22193539557139688
1,Q0_IN_02_ST_BI_D2SX_OB,ONB,Haar,Haar,"D2 With Center (1/2,0)",QuincunxRotation,1.0,1.0,1.0,True,Haar wavelet,10,tank2.bmp,27.64777985822495,0.7111261644368081,18.283161147569523,0.37813670102384495,24.552729868351758,0.45608042174328667,21.856555116872972,0.3336599256608265
2,Q0_IN_03_ST_DF_NS_FL,Frame-like Dual Wavelet System,Best In 3-point Standard,Delta Function,No Symmetry,QuincunxRotation,1.0,1.0,0.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",10,tank2.bmp,26.16605291544913,0.6749159644559404,18.209108086198484,0.37901681517061586,24.513786262419313,0.5261134280694436,18.799860047998948,0.2280227034999484
3,Q0_IN_03_ST_1C_NS_FLL2,Frame-like Dual Wavelet System,Best In 3-point Standard,1-Compatible In 2-point Standard,No Symmetry,QuincunxRotation,2.0,1.0,1.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",10,tank2.bmp,27.56523084993786,0.7013827512372951,18.313235003226684,0.37682327635736523,24.345764567339202,0.4440206288446859,21.017142229205213,0.28095427994562927
4,Q0_IN_03_ST_BI_NS_FS,Dual Wavelet Frame In Sobolev Spaces,Best In 3-point Standard,Biorthogonal In Cube-1,No Symmetry,QuincunxRotation,1.0,1.0,1.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",10,tank2.bmp,28.31849916548287,0.76614137805239,18.17382647680307,0.37793675144122735,25.959397309232266,0.5714121598519286,21.554416905574435,0.3535958922783916
5,Q0_IN_03_ST_BI_NS_FR,Dual Wavelet Frame,Best In 3-point Standard,Biorthogonal In Special Support,No Symmetry,QuincunxRotation,1.0,1.0,2.0,True,"Created by the algorithm in paper ""Symmetric multivariate wavelets"" by Karakazyan S., Skopina M., Tchobanou M. in Int. J. Wavelets Multiresolut. Inf. Process. 2009 7 (3) P. 313-340.",10,tank2.bmp,28.19958008814353,0.7675071045922252,18.28941193160701,0.3852542233514165,26.38347516815058,0.5995862024768076,22.137697744254808,0.40466488762334757
6,Q0_IN_03_HL_DF_D2_FL,Frame-like Dual Wavelet System,Best In 3-point Line,Delta Function,D2,QuincunxRotation,1.0,2.0,0.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,26.62616938335023,0.6987936862970067,18.08606444022096,0.37445902249937096,25.399968292321454,0.587490446651092,18.94936428657898,0.24562568443809282
7,Q0_IN_03_HL_1C_NS_FLL2,Frame-like Dual Wavelet System,Best In 3-point Line,1-Compatible In 2-point Standard,No Symmetry,QuincunxRotation,2.0,2.0,1.0,True,"Created by the algorithm in paper ""Approximation by frame-like wavelet systems"" by A. Krivoshein, M. Skopina, 2011, ACHA 31 (3), 410-428",10,tank2.bmp,27.32304810647346,0.691660027444022,18.273064973990092,0.37636973373470356,24.10356227406977,0.4327937641481111,20.899713827246224,0.27437501765175776
8,Q0_IN_03_HL_2C_D2_FLL2,Frame-like Dual Wavelet System,Best In 3-point Line,2-Compatible In 3-point Line,D2,QuincunxRotation,2.0,2.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,27.353946572950658,0.6784826835793635,18.279188519008947,0.3707705597816253,24.06542767463106,0.43446642027441623,20.424678382409454,0.24206732678494805
9,Q0_IN_03_HL_BI_D2_FS,Dual Wavelet Frame In Sobolev Spaces,Best In 3-point Line,Biorthogonal In 5-point Line,D2,QuincunxRotation,1.0,2.0,2.0,True,"Created by the algorithm in paper ""Symmetric multivariate wavelets"" by Karakazyan S., Skopina M., Tchobanou M. in Int. J. Wavelets Multiresolut. Inf. Process. 2009 7 (3) P. 313-340.",10,tank2.bmp,28.548830576957155,0.775408134180423,18.237382307224173,0.3814935412124602,26.5649390958707,0.6135303594415027,21.54673040283699,0.3738956303088434
10,Q0_IN_05_R1_DF_D4_FL,Frame-like Dual Wavelet System,Best In Rhomb-1,Delta Function,D4,QuincunxRotation,1.0,2.0,0.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,27.258450656956,0.7261226579492711,18.157985974572153,0.3769723454587358,25.470204299290074,0.5916887873690769,18.244996949873453,0.22552580478233222
11,Q0_IN_05_R1_2C_D2_FLL2,Frame-like Dual Wavelet System,Best In Rhomb-1,2-Compatible In 3-point Line,D2,QuincunxRotation,2.0,2.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,27.134763345768725,0.6712299105347584,18.223398270456304,0.36769492299362855,23.876345669603754,0.4223197713736854,19.811386623481102,0.2075727930970846
12,Q0_IN_05_R1_2C_D4_FLL2,Frame-like Dual Wavelet System,Best In Rhomb-1,2-Compatible In Rhomb-1,D4,QuincunxRotation,2.0,2.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,26.871421165421836,0.6576003208337676,18.363328579541026,0.35756024502403694,23.97216828640935,0.4335526773232488,19.635937466021367,0.19503903338811207
13, Q0_IN_05_R1_BI_D4_FR,Dual Wavelet Frame,Best In Rhomb-1,Biorthogonal In Rhomb-4,D4,QuincunxRotation,1.0,2.0,4.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,28.561877535500372,0.7877514163311664,18.140911054884377,0.3771042100685627,27.464659247097522,0.6766713518391713,21.30862566410716,0.37840205967061696
14,Q0_IN_13_C2_DF_D4_FL,Frame-like Dual Wavelet System,Best In Cube-2,Delta Function,D4,QuincunxRotation,1.0,4.0,0.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,26.920482936859994,0.7188894130741256,18.169047291900675,0.3780322747246538,25.34204031813333,0.6096827912392108,17.996966692435777,0.23775814130379633
15,Q0_IN_13_C2_2C_D2_FLL2,Frame-like Dual Wavelet System,Best In Cube-2,2-Compatible In 3-point Line,D2,QuincunxRotation,2.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,27.00973140885887,0.6531746013139137,18.29063239204888,0.36541861899367445,24.07838449411937,0.43038186945625156,19.89937919895452,0.2146155718000116
16,Q0_IN_13_C2_2C_D4_FLL2,Frame-like Dual Wavelet System,Best In Cube-2,2-Compatible In Rhomb-1,D4,QuincunxRotation,2.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,26.519498808295168,0.619883300485907,18.453459420142945,0.3610443624544444,24.11821635366718,0.4367229504731432,19.78087496620484,0.20507026994724417
17,Q0_IN_13_C2_4C_D4_FLL2,Frame-like Dual Wavelet System,Best In Cube-2,4-Compatible In Cube-1,D4,QuincunxRotation,2.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,27.93592132765842,0.7705646441649269,18.368725562853484,0.3800653353062608,27.369869239144975,0.6865703252344326,19.891896355855472,0.31391426027521885
18,Q0_IN_13_C2_BI_D4_FS,Dual Wavelet Frame In Sobolev Spaces,Best In Cube-2,Biorthogonal In Cube-3,D4,QuincunxRotation,1.0,4.0,2.0,True,"Created by the algorithm in paper ""On construction of multivariate symmetric MRA-based wavelets"" by A. Krivoshein, 2014, ACHA 36 (2), 215-238",10,tank2.bmp,28.515587730743835,0.7820080724654455,18.296004032220566,0.385363768727363,26.986602661531936,0.6542561829040376,20.520076243775968,0.3306338879456611
19,Q0_IN_17_R3S_4C_D4_FR,Dual Wavelet Frame,Custom,4-Compatible In Rhomb-3,D4,QuincunxRotation,3.0,4.0,4.0,True,"Created by the algorithm in paper ""Compactly Supported Multivariate Pairs of Dual Wavelet Frames Obtained by Convolution"" by M. Ehler, 2008, IJWMIP 6 (2), 183-208.",10,tank2.bmp,27.716485473465685,0.6868191543098384,18.56506830403501,0.3765450681858842,24.78743165934599,0.4611690690082292,21.526825403521368,0.28764004103541363
